Cohort,City,Grade Type,Fellow ID Number,There is a person(s) at Teach For India that shares timely feedback with me on my classroom's progress,My PM consistently shares helpful and timely feedback on my development as a teacher and leader with me,My PM helps me identify opportunities within and beyond TFI that will aid my development as a leader,My PM is an effective mentor to me,"City wide events like the City Conferences, Learning Communities, and workshops aid my development by exposing me to the larger Movement for educational equity","I have access to helpful and timely support, resources and networks via Teach For India to find a suitable post-Fellowship opportunity",There is a sufficient ecosystem for consistent and timely support in my city that I can access for challenges I face while working with the community in which my placement school is located,There is a sufficient ecosystem for consistent and timely support in my city that I can access for the challenges I face while working in my placement school,I find the Career options available to me post Fellowship exciting,"I am growing the capabilities I need (e.g., knowledge, skills, mindsets, values, perspectives, relationships) to play a valuable role in the movement to ensure that all children in this nation have the opportunity to attain an excellent education.",Teach For India has a role to play in ensuring that all children in India attain an excellent education,I believe it is possible for all children in India to attain an excellent education,"I feel comfortable in approaching Senior Management with any concerns, questions or ideas that I have",I am aware of city level and Org level happenings at Teach For India,There is a person(s) I am close to and can draw support from at Teach For India,"I have seen evidence that at Teach For India, everyone works collectively, committing to do what it takes, to provide a quality education to students","I feel my work, when worthy, is aptly recognised and praised at Teach For India",I believe that my colleagues and staff at Teach For India conduct themselves with appropriate levels of professionalism,"In my experience, my views are taken into account and acted upon at Teach for India",I believe there exist apt channels and platforms at Teach for India for me to share feedback/concerns,I feel safe working in my placement school,I feel safe in the community in which in my placement school is located,I feel part of a larger movement that is working to ensure that all children in India attain an excellent education,I believe I have a role to play in ensuring all children attain an excellent education,I have a growing understanding of why all children in India today do not attain an excellent education,I find purpose and meaning in the work I do,I believe that I am effectively contributing to ensuring that all children have the opportunity to attain an excellent education,"Compared to my expectations when I applied, my actual Fellowship experience till date has:"
2017,Hyderabad,Secondary,1001628,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001629,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Elementary,1001630,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Bengaluru,Secondary,1001631,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Not lived up to my expectations
2018,Delhi,Elementary,1001632,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Ahmedabad,Elementary,1001633,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001634,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001635,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,na,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat fulfilled my expectations
2018,Mumbai,Elementary,1001636,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,na,Agree,Agree,na,Strongly Agree,Agree,Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Ahmedabad,Elementary,1001637,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,na,Strongly Disagree,Strongly Disagree,na,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Not lived up to my expectations
2017,Pune,Elementary,1001638,Agree,Agree,Agree,Agree,na,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,na,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Pune,Elementary,1001639,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001640,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,na,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001641,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,na,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Not lived up to my expectations
2017,Chennai,Elementary,1001642,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,na,Strongly Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001643,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Bengaluru,Secondary,1001644,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001645,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001646,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Not lived up to my expectations
2017,Delhi,Secondary,1001647,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Ahmedabad,Secondary,1001648,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001649,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001650,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,na,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Chennai,Secondary,1001651,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Delhi,Elementary,1001652,Strongly Disagree,Agree,Disagree,Disagree,Disagree,na,Agree,Agree,na,Agree,Agree,Agree,na,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001653,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Mumbai,Secondary,1001654,Agree,Agree,Agree,Agree,Disagree,na,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001655,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001656,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001657,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Pune,Elementary,1001658,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Chennai,Secondary,1001659,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Elementary,1001660,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Pune,Secondary,1001661,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Secondary,1001662,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,na,Strongly Agree,Agree,Disagree,na,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Bengaluru,Secondary,1001663,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Not lived up to my expectations
2018,Hyderabad,Secondary,1001664,Agree,Agree,Agree,Strongly Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Bengaluru,Secondary,1001665,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001666,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,na,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001667,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Chennai,Elementary,1001668,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Elementary,1001669,Agree,Agree,Agree,Disagree,na,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Not lived up to my expectations
2018,Delhi,Secondary,1001670,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,na,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Elementary,1001671,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001672,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Ahmedabad,Elementary,1001673,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001674,Strongly Agree,Strongly Agree,Agree,Agree,Agree,na,Strongly Agree,Agree,na,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001675,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001676,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Mumbai,Elementary,1001677,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Mumbai,Elementary,1001678,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001679,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001680,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Hyderabad,Elementary,1001681,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Hyderabad,Elementary,1001682,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001683,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001684,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Mumbai,Elementary,1001685,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001686,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001687,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,na,Agree,Disagree,na,Strongly Agree,Agree,Disagree,na,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Pune,Secondary,1001688,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001689,Disagree,Disagree,Agree,Agree,na,na,Agree,Disagree,na,Strongly Agree,Agree,Strongly Agree,na,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Bengaluru,Elementary,1001690,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Chennai,Secondary,1001691,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,na,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2016,Delhi,Secondary,1001692,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,na,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Pune,Elementary,1001693,Disagree,Disagree,Disagree,Disagree,Agree,na,Strongly Disagree,Strongly Disagree,na,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Not lived up to my expectations
2018,Bengaluru,Elementary,1001694,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Mumbai,Secondary,1001695,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001696,Agree,Agree,Agree,Agree,Disagree,na,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001697,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Bengaluru,Secondary,1001698,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Secondary,1001699,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,na,Disagree,Strongly Disagree,na,Agree,Agree,Disagree,na,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001700,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Ahmedabad,Elementary,1001701,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
